NAME,DATA TIMESTAMP,RAINFALL DAY MM
Balantak,2025-01-09 00:00:00.0 +0:00,29.5
Balantak,2025-01-10 00:00:00.0 +0:00,0
Balantak,2025-01-11 00:00:00.0 +0:00,0
Balantak,2025-01-12 00:00:00.0 +0:00,6.5
Balantak,2025-01-13 00:00:00.0 +0:00,0
Balantak,2025-01-14 00:00:00.0 +0:00,38
Balantak,2025-01-15 00:00:00.0 +0:00,8888
Balantak,2025-01-16 00:00:00.0 +0:00,28
Balantak,2025-01-17 00:00:00.0 +0:00,0
Balantak,2025-01-18 00:00:00.0 +0:00,2
Balantak,2025-01-19 00:00:00.0 +0:00,6.5
Balantak,2025-01-20 00:00:00.0 +0:00,0
Balantak,2025-01-21 00:00:00.0 +0:00,2.5
Balantak,2025-01-22 00:00:00.0 +0:00,4.5
Balantak,2025-01-23 00:00:00.0 +0:00,5
Balantak,2025-01-24 00:00:00.0 +0:00,8
Balantak,2025-01-25 00:00:00.0 +0:00,10
Balantak,2025-01-26 00:00:00.0 +0:00,0
Balantak,2025-01-27 00:00:00.0 +0:00,0
Balantak,2025-01-28 00:00:00.0 +0:00,11.5
Balantak,2025-01-29 00:00:00.0 +0:00,42
Balantak,2025-01-30 00:00:00.0 +0:00,0
Balantak,2025-01-31 00:00:00.0 +0:00,5
Pagimana,2025-01-01 00:00:00.0 +0:00,15
Pagimana,2025-01-02 00:00:00.0 +0:00,5
Pagimana,2025-01-03 00:00:00.0 +0:00,8
Pagimana,2025-01-04 00:00:00.0 +0:00,0
Pagimana,2025-01-05 00:00:00.0 +0:00,0
Pagimana,2025-01-06 00:00:00.0 +0:00,6
Pagimana,2025-01-07 00:00:00.0 +0:00,5
Pagimana,2025-01-08 00:00:00.0 +0:00,0
Pagimana,2025-01-09 00:00:00.0 +0:00,16
Pagimana,2025-01-10 00:00:00.0 +0:00,34
Pagimana,2025-01-11 00:00:00.0 +0:00,16
Pagimana,2025-01-12 00:00:00.0 +0:00,37
Pagimana,2025-01-13 00:00:00.0 +0:00,28
Pagimana,2025-01-14 00:00:00.0 +0:00,27
Pagimana,2025-01-15 00:00:00.0 +0:00,0
Pagimana,2025-01-16 00:00:00.0 +0:00,0
Pagimana,2025-01-17 00:00:00.0 +0:00,0
Pagimana,2025-01-18 00:00:00.0 +0:00,0
Pagimana,2025-01-19 00:00:00.0 +0:00,2
Pagimana,2025-01-20 00:00:00.0 +0:00,0
Pagimana,2025-01-21 00:00:00.0 +0:00,0
