NAME,DATA TIMESTAMP,RAINFALL DAY MM
Bakung,2025-08-07 00:00:00.0 +0:00,0
Bakung,2025-08-08 00:00:00.0 +0:00,8888
Bakung,2025-08-09 00:00:00.0 +0:00,1.5
Bakung,2025-08-10 00:00:00.0 +0:00,9.5
Bakung,2025-08-11 00:00:00.0 +0:00,6.5
Bakung,2025-08-12 00:00:00.0 +0:00,17
Bakung,2025-08-13 00:00:00.0 +0:00,0
Bakung,2025-08-14 00:00:00.0 +0:00,0
Bakung,2025-08-15 00:00:00.0 +0:00,3
Bakung,2025-08-16 00:00:00.0 +0:00,20.5
Bakung,2025-08-17 00:00:00.0 +0:00,12
Bakung,2025-08-18 00:00:00.0 +0:00,0
Bakung,2025-08-19 00:00:00.0 +0:00,2
Bakung,2025-08-20 00:00:00.0 +0:00,35
Bakung,2025-08-21 00:00:00.0 +0:00,5
Bakung,2025-08-22 00:00:00.0 +0:00,8888
Bakung,2025-08-23 00:00:00.0 +0:00,2.5
Bakung,2025-08-24 00:00:00.0 +0:00,24.5
Bakung,2025-08-25 00:00:00.0 +0:00,23.5
Bakung,2025-08-26 00:00:00.0 +0:00,1
Bakung,2025-08-27 00:00:00.0 +0:00,0
Bakung,2025-08-28 00:00:00.0 +0:00,0
Bakung,2025-08-29 00:00:00.0 +0:00,8888
Bakung,2025-08-30 00:00:00.0 +0:00,8888
Bakung,2025-08-31 00:00:00.0 +0:00,0
Bakung,2025-09-01 00:00:00.0 +0:00,10
Bakung,2025-09-02 00:00:00.0 +0:00,57
Bakung,2025-09-03 00:00:00.0 +0:00,130
Bakung,2025-09-04 00:00:00.0 +0:00,5
Bakung,2025-09-05 00:00:00.0 +0:00,0
Bakung,2025-09-06 00:00:00.0 +0:00,2
Bakung,2025-09-07 00:00:00.0 +0:00,5
Bakung,2025-09-08 00:00:00.0 +0:00,2
Bakung,2025-09-09 00:00:00.0 +0:00,0
Bakung,2025-09-10 00:00:00.0 +0:00,4.5
Bakung,2025-09-11 00:00:00.0 +0:00,8888
Bakung,2025-09-12 00:00:00.0 +0:00,0
Bakung,2025-09-13 00:00:00.0 +0:00,3.5
Bakung,2025-09-14 00:00:00.0 +0:00,7
